season,winner,first_w,first_l,first_ot,not_w,not_l,not_ot,first_percent,not_percent,perc_diff
20072008,NSH,29,3,4,5,22,4,0.86,0.23,0.64
20102011,MIN,28,2,4,7,23,3,0.88,0.26,0.62
20142015,WSH,30,2,4,6,20,6,0.89,0.28,0.61
20132014,MTL,29,3,2,7,22,5,0.88,0.28,0.60
20072008,MIN,30,4,2,7,21,3,0.86,0.27,0.59
20092010,PHX,31,3,2,8,19,3,0.89,0.32,0.57
20122013,N.J,14,1,4,5,18,6,0.84,0.28,0.57
20082009,NSH,27,6,3,6,23,2,0.79,0.23,0.57
20082009,ANA,25,5,3,7,25,3,0.80,0.24,0.56
20102011,NYI,19,3,5,7,28,5,0.80,0.24,0.56
20072008,PHX,23,3,3,10,25,2,0.84,0.30,0.55
20122013,PHX,15,1,4,6,17,5,0.85,0.30,0.55
20132014,NSH,21,3,5,8,26,5,0.81,0.27,0.54
20052006,NYR,28,7,2,6,19,1,0.78,0.25,0.53
20132014,NYR,27,5,1,9,23,3,0.83,0.30,0.53
20102011,DAL,27,3,2,9,20,6,0.88,0.34,0.53
20122013,NYR,18,2,1,8,16,3,0.88,0.35,0.53
20132014,COL,33,2,3,10,17,2,0.91,0.38,0.53
20112012,PHX,26,4,5,7,21,5,0.81,0.29,0.53
20072008,NYI,23,4,4,9,25,3,0.81,0.28,0.52
20102011,CAR,21,2,4,10,23,6,0.85,0.33,0.52
20132014,N.J,25,6,7,4,20,6,0.75,0.23,0.52
20122013,NSH,11,2,5,5,21,4,0.75,0.23,0.52
20122013,S.J,20,3,2,5,13,5,0.84,0.33,0.51
20122013,FLA,11,4,2,4,23,4,0.71,0.19,0.51
20072008,CBJ,21,3,6,9,25,4,0.80,0.29,0.51
20072008,OTT,29,5,4,8,19,2,0.82,0.31,0.51
20122013,L.A,21,3,2,6,13,3,0.85,0.34,0.51
20142015,CAR,20,7,4,5,25,4,0.71,0.21,0.50
20102011,VAN,35,2,6,8,14,3,0.88,0.38,0.50
20132014,STL,37,1,5,9,13,2,0.92,0.42,0.50
20082009,L.A,24,7,3,5,21,6,0.75,0.25,0.50
20122013,BUF,16,4,4,5,17,2,0.75,0.25,0.50
20102011,ANA,29,7,2,7,19,3,0.79,0.29,0.50
